34.69118,-1.966135|34.70118,-1.956135
33.855761,-7.014464|33.870761,-6.999464000000001
33.855761,-6.999464000000001|33.870761,-6.984464000000001
33.855761,-6.984464000000001|33.870761,-6.969464000000001
33.855761,-6.969464000000001|33.870761,-6.9544640000000015
33.855761,-6.9544640000000015|33.870761,-6.939464000000002
33.855761,-6.939464000000002|33.870761,-6.924464000000002
33.855761,-6.924464000000002|33.870761,-6.9094640000000025
33.870761,-7.014464|33.885761,-6.999464000000001
33.870761,-6.999464000000001|33.885761,-6.984464000000001
33.870761,-6.984464000000001|33.885761,-6.969464000000001
33.870761,-6.969464000000001|33.885761,-6.9544640000000015
33.870761,-6.9544640000000015|33.885761,-6.939464000000002
33.870761,-6.939464000000002|33.885761,-6.924464000000002
33.870761,-6.924464000000002|33.885761,-6.9094640000000025
33.885761,-7.014464|33.900761,-6.999464000000001
33.885761,-6.999464000000001|33.900761,-6.984464000000001
33.885761,-6.984464000000001|33.900761,-6.969464000000001
33.885761,-6.969464000000001|33.900761,-6.9544640000000015
33.885761,-6.9544640000000015|33.900761,-6.939464000000002
33.885761,-6.939464000000002|33.900761,-6.924464000000002
33.885761,-6.924464000000002|33.900761,-6.9094640000000025
33.885761,-6.9094640000000025|33.900761,-6.894464000000003
33.900761,-6.999464000000001|33.915761,-6.984464000000001
33.900761,-6.984464000000001|33.915761,-6.969464000000001
33.900761,-6.969464000000001|33.915761,-6.9544640000000015
33.900761,-6.9544640000000015|33.915761,-6.939464000000002
33.900761,-6.939464000000002|33.915761,-6.924464000000002
33.900761,-6.924464000000002|33.915761,-6.9094640000000025
33.900761,-6.9094640000000025|33.915761,-6.894464000000003
33.900761,-6.894464000000003|33.915761,-6.879464000000003
33.915761,-6.984464000000001|33.930761000000004,-6.969464000000001
33.915761,-6.969464000000001|33.930761000000004,-6.9544640000000015
33.915761,-6.9544640000000015|33.930761000000004,-6.939464000000002
33.915761,-6.939464000000002|33.930761000000004,-6.924464000000002
33.915761,-6.924464000000002|33.930761000000004,-6.9094640000000025
33.915761,-6.9094640000000025|33.930761000000004,-6.894464000000003
33.915761,-6.894464000000003|33.930761000000004,-6.879464000000003
33.915761,-6.879464000000003|33.930761000000004,-6.8644640000000035
33.915761,-6.8644640000000035|33.930761000000004,-6.849464000000004
33.930761000000004,-6.9544640000000015|33.945761000000005,-6.939464000000002
33.930761000000004,-6.939464000000002|33.945761000000005,-6.924464000000002
33.930761000000004,-6.924464000000002|33.945761000000005,-6.9094640000000025
33.930761000000004,-6.9094640000000025|33.945761000000005,-6.894464000000003
33.930761000000004,-6.894464000000003|33.945761000000005,-6.879464000000003
33.930761000000004,-6.879464000000003|33.945761000000005,-6.8644640000000035
33.930761000000004,-6.8644640000000035|33.945761000000005,-6.849464000000004
33.930761000000004,-6.849464000000004|33.945761000000005,-6.834464000000004
33.945761000000005,-6.939464000000002|33.960761000000005,-6.924464000000002
33.945761000000005,-6.924464000000002|33.960761000000005,-6.9094640000000025
33.945761000000005,-6.9094640000000025|33.960761000000005,-6.894464000000003
33.945761000000005,-6.894464000000003|33.960761000000005,-6.879464000000003
33.945761000000005,-6.879464000000003|33.960761000000005,-6.8644640000000035
33.945761000000005,-6.8644640000000035|33.960761000000005,-6.849464000000004
33.945761000000005,-6.849464000000004|33.960761000000005,-6.834464000000004
33.945761000000005,-6.834464000000004|33.960761000000005,-6.819464000000004
33.960761000000005,-6.924464000000002|33.975761000000006,-6.9094640000000025
33.960761000000005,-6.9094640000000025|33.975761000000006,-6.894464000000003
33.960761000000005,-6.894464000000003|33.975761000000006,-6.879464000000003
33.960761000000005,-6.879464000000003|33.975761000000006,-6.8644640000000035
33.960761000000005,-6.8644640000000035|33.975761000000006,-6.849464000000004
33.960761000000005,-6.849464000000004|33.975761000000006,-6.834464000000004
33.960761000000005,-6.834464000000004|33.975761000000006,-6.819464000000004
33.960761000000005,-6.819464000000004|33.975761000000006,-6.804464000000005
33.975761000000006,-6.9094640000000025|33.990761000000006,-6.894464000000003
33.975761000000006,-6.894464000000003|33.990761000000006,-6.879464000000003
33.975761000000006,-6.879464000000003|33.990761000000006,-6.8644640000000035
33.975761000000006,-6.8644640000000035|33.990761000000006,-6.849464000000004
33.975761000000006,-6.849464000000004|33.990761000000006,-6.834464000000004
33.975761000000006,-6.834464000000004|33.990761000000006,-6.819464000000004
33.975761000000006,-6.819464000000004|33.990761000000006,-6.804464000000005
33.975761000000006,-6.804464000000005|33.990761000000006,-6.789464000000005
33.975761000000006,-6.744464000000006|33.990761000000006,-6.729464000000006
33.975761000000006,-6.729464000000006|33.990761000000006,-6.714464000000007
33.975761000000006,-6.714464000000007|33.990761000000006,-6.699464000000007
33.990761000000006,-6.894464000000003|34.00576100000001,-6.879464000000003
33.990761000000006,-6.879464000000003|34.00576100000001,-6.8644640000000035
33.990761000000006,-6.8644640000000035|34.00576100000001,-6.849464000000004
33.990761000000006,-6.849464000000004|34.00576100000001,-6.834464000000004
33.990761000000006,-6.834464000000004|34.00576100000001,-6.819464000000004
33.990761000000006,-6.819464000000004|34.00576100000001,-6.804464000000005
33.990761000000006,-6.804464000000005|34.00576100000001,-6.789464000000005
33.990761000000006,-6.789464000000005|34.00576100000001,-6.774464000000005
33.990761000000006,-6.774464000000005|34.00576100000001,-6.759464000000006
33.990761000000006,-6.759464000000006|34.00576100000001,-6.744464000000006
33.990761000000006,-6.744464000000006|34.00576100000001,-6.729464000000006
33.990761000000006,-6.729464000000006|34.00576100000001,-6.714464000000007
33.990761000000006,-6.714464000000007|34.00576100000001,-6.699464000000007
34.00576100000001,-6.879464000000003|34.02076100000001,-6.8644640000000035
34.00576100000001,-6.8644640000000035|34.02076100000001,-6.849464000000004
34.00576100000001,-6.849464000000004|34.02076100000001,-6.834464000000004
34.00576100000001,-6.834464000000004|34.02076100000001,-6.819464000000004
34.00576100000001,-6.819464000000004|34.02076100000001,-6.804464000000005
34.00576100000001,-6.804464000000005|34.02076100000001,-6.789464000000005
34.00576100000001,-6.789464000000005|34.02076100000001,-6.774464000000005
34.00576100000001,-6.774464000000005|34.02076100000001,-6.759464000000006
34.00576100000001,-6.759464000000006|34.02076100000001,-6.744464000000006
34.00576100000001,-6.744464000000006|34.02076100000001,-6.729464000000006
34.02076100000001,-6.8644640000000035|34.03576100000001,-6.849464000000004
34.02076100000001,-6.849464000000004|34.03576100000001,-6.834464000000004
34.02076100000001,-6.834464000000004|34.03576100000001,-6.819464000000004
34.02076100000001,-6.819464000000004|34.03576100000001,-6.804464000000005
34.02076100000001,-6.804464000000005|34.03576100000001,-6.789464000000005
